wavenumber	intensity
600	0.01966775
602	0.0190656
604	0.0176287
606	0.02321425
608	0.0378772
610	0.0559572
612	0.0752478
614	0.10697
616	0.1687232
618	0.24686075
620	0.29878395
622	0.29105985
624	0.23643525
626	0.1687992
628	0.1109327
630	0.0680728
632	0.0405794
634	0.0286051
636	0.02620065
638	0.02479135
640	0.02167775
642	0.01895745
644	0.0182458
646	0.0163716
648	0.0100109
650	0.00336925
652	0.0022469
654	0.00576165
656	0.01017995
658	0.0149532
660	0.0174485
662	0.0135663
664	0.00572145
666	0.0026539
668	0.0068374
670	0.0124796
672	0.0147659
674	0.01523565
676	0.0160526
678	0.01674935
680	0.0175784
682	0.01860085
684	0.0187471
686	0.01771645
688	0.0168102
690	0.01714
692	0.01873465
694	0.02128335
696	0.02349775
698	0.02249005
700	0.02010615
702	0.02204565
704	0.02931965
706	0.0405551
708	0.05803365
710	0.08098585
712	0.12318685
714	0.2269632
716	0.4393424
718	0.7243299
720	0.9455237
722	0.9812943
724	0.8232167
726	0.5588074
728	0.30087945
730	0.14077575
732	0.0814671
734	0.066022
736	0.0531071
738	0.04228
740	0.0346866
742	0.0299727
744	0.027768
746	0.0262883
748	0.02337645
750	0.0189244
752	0.0150448
754	0.01500305
756	0.0179703
758	0.0199014
760	0.02052585
762	0.0218033
764	0.02178905
766	0.0177404
768	0.01310365
770	0.0132337
772	0.0158748
774	0.0157514
776	0.0128243
778	0.0112783
780	0.01142295
782	0.0097582
784	0.00672255
786	0.00615875
788	0.010611
790	0.01903185
792	0.0287768
794	0.0353423
796	0.03484135
798	0.0282646
800	0.02093095
802	0.0164208
804	0.0148593
806	0.013958
808	0.0119438
810	0.010222
812	0.0108709
814	0.01313465
816	0.0134646
818	0.01160545
820	0.01115065
822	0.01495565
824	0.0204908
826	0.02292055
828	0.02211345
830	0.01961735
832	0.0145843
834	0.0114491
836	0.0163711
838	0.0238942
840	0.0263046
842	0.0261591
844	0.02591015
846	0.02546735
848	0.02945975
850	0.03612085
852	0.03748295
854	0.0334381
856	0.028498
858	0.02408365
860	0.02321945
862	0.02508055
864	0.0240504
866	0.01942945
868	0.0161326
870	0.0161366
872	0.01924045
874	0.0229246
876	0.0241479
878	0.024832
880	0.02847615
882	0.0342375
884	0.0397415
886	0.0447054
888	0.05042655
890	0.0627446
892	0.08571195
894	0.1118854
896	0.12128665
898	0.1055543
900	0.07602805
902	0.05033525
904	0.0346315
906	0.0272685
908	0.02467945
910	0.0240029
912	0.02573135
914	0.0311091
916	0.03698925
918	0.03765015
920	0.03407895
922	0.0333574
924	0.04098905
926	0.0522453
928	0.06282465
930	0.07996795
932	0.11593075
934	0.1713321
936	0.23062035
938	0.2767498
940	0.29559615
942	0.27345785
944	0.21847675
946	0.1617402
948	0.12246105
950	0.09312615
952	0.0669807
954	0.0487526
956	0.03845255
958	0.0321788
960	0.0259367
962	0.0182724
964	0.0112906
966	0.00982025
968	0.0142507
970	0.0184417
972	0.017247
974	0.013498
976	0.0132787
978	0.0155183
980	0.0162782
982	0.01528105
984	0.01400235
986	0.01269225
988	0.0133413
990	0.01471455
992	0.01374585
994	0.0139527
996	0.01645755
998	0.01587985
1000	0.0132625
1002	0.01503755
1004	0.0195286
1006	0.02234275
1008	0.027546
1010	0.0381788
1012	0.0501861
1014	0.06231545
1016	0.07798505
1018	0.09593215
1020	0.10833085
1022	0.11076175
1024	0.10340515
1026	0.08969365
1028	0.0753493
1030	0.0623665
1032	0.0501009
1034	0.04049405
1036	0.03574605
1038	0.0324396
1040	0.02758265
1042	0.024666
1044	0.02455915
1046	0.02228745
1048	0.01593575
1050	0.0119793
1052	0.0138841
1054	0.0158831
1056	0.0145055
1058	0.0122
1060	0.01158645
1062	0.0120433
1064	0.01308635
1066	0.0128513
1068	0.01004075
1070	0.00752115
1072	0.0085775
1074	0.0114695
1076	0.01341255
1078	0.0137904
1080	0.01208215
1082	0.0089069
1084	0.00893575
1086	0.01386315
1088	0.0187934
1090	0.01895605
1092	0.01760655
1094	0.0180458
1096	0.01688105
1098	0.01395935
1100	0.01455435
1102	0.0203044
1104	0.02621755
1106	0.03106365
1108	0.039939
1110	0.0548315
1112	0.076465
1114	0.1094322
1116	0.15511215
1118	0.2073222
1120	0.2574835
1122	0.2879362
1124	0.2770052
1126	0.22263795
1128	0.1523356
1130	0.09348855
1132	0.05532725
1134	0.0353584
1136	0.02777485
1138	0.026209
1140	0.02437615
1142	0.02018345
1144	0.0165378
1146	0.01777265
1148	0.0247031
1150	0.0335465
1152	0.0426933
1154	0.05058885
1156	0.0519929
1158	0.0473617
1160	0.04352855
1162	0.04208305
1164	0.03674905
1166	0.02674565
1168	0.01709
1170	0.0131998
1172	0.0146848
1174	0.0153245
1176	0.01312935
1178	0.0105355
1180	0.0081771
1182	0.00670835
1184	0.008321
1186	0.01077365
1188	0.00834695
1190	0.0036883
1192	0.0044921
1194	0.01289505
1196	0.01986175
1198	0.01754795
1200	0.0124762
1202	0.01136845
1204	0.0122772
1206	0.01274475
1208	0.01555915
1210	0.01978855
1212	0.02230175
1214	0.0256324
1216	0.0324669
1218	0.0416078
1220	0.049992
1222	0.05786925
1224	0.0692507
1226	0.08699545
1228	0.1078469
1230	0.12388875
1232	0.1306648
1234	0.13608575
1236	0.1574823
1238	0.2087888
1240	0.29429405
1242	0.40364045
1244	0.50279495
1246	0.54474035
1248	0.5048294
1250	0.4063171
1252	0.2955087
1254	0.2079527
1256	0.15251865
1258	0.1214099
1260	0.10124345
1262	0.0834901
1264	0.0698058
1266	0.0634162
1268	0.0615602
1270	0.05788815
1272	0.0511397
1274	0.04500815
1276	0.0422454
1278	0.04237765
1280	0.0422568
1282	0.03813145
1284	0.03323325
1286	0.0349374
1288	0.0427093
1290	0.04869685
1292	0.0509191
1294	0.0564687
1296	0.06715195
1298	0.084175
1300	0.11433595
1302	0.15507755
1304	0.18527225
1306	0.1832099
1308	0.15534605
1310	0.1246784
1312	0.11077595
1314	0.116353
1316	0.14420475
1318	0.20472865
1320	0.3078638
1322	0.4438446
1324	0.5916436
1326	0.7331997
1328	0.8381105
1330	0.86371155
1332	0.78339945
1334	0.6182013
1336	0.42652565
1338	0.27480495
1340	0.18508
1342	0.1372919
1344	0.10640845
1346	0.08610455
1348	0.073563
1350	0.0684676
1352	0.0708786
1354	0.07717715
1356	0.0851249
1358	0.0973798
1360	0.11806515
1362	0.1523414
1364	0.2016405
1366	0.2463903
1368	0.2608726
1370	0.2379099
1372	0.19196825
1374	0.1401829
1376	0.0976642
1378	0.07073855
1380	0.05419935
1382	0.04177825
1384	0.0316278
1386	0.0232831
1388	0.01609455
1390	0.00943915
1392	0.0070183
1394	0.00995115
1396	0.0134795
1398	0.01655595
1400	0.0212661
1402	0.0252734
1404	0.026213
1406	0.0308427
1408	0.0428398
1410	0.0576783
1412	0.0760135
1414	0.09429825
1416	0.09907735
1418	0.087176
1420	0.06904765
1422	0.05202645
1424	0.0386088
1426	0.03515305
1428	0.0409024
1430	0.04800165
1432	0.0545158
1434	0.06354415
1436	0.07820485
1438	0.09259285
1440	0.09964575
1442	0.09907725
1444	0.09406375
1446	0.0936009
1448	0.10727725
1450	0.1297714
1452	0.15080395
1454	0.1676915
1456	0.1785863
1458	0.1832168
1460	0.186944
1462	0.1918961
1464	0.2006609
1466	0.2201614
1468	0.25226725
1470	0.29552705
1472	0.34705565
1474	0.3936872
1476	0.4207197
1478	0.4309036
1480	0.4322378
1482	0.42484465
1484	0.3999322
1486	0.35824295
1488	0.31196425
1490	0.27330615
1492	0.2367731
1494	0.19649705
1496	0.16073565
1498	0.13929405
1500	0.1293525
1502	0.12139735
1504	0.10589295
1506	0.0846127
1508	0.0696454
1510	0.06632145
1512	0.0659565
1514	0.0608487
1516	0.0494589
1518	0.03848625
1520	0.03470505
1522	0.0348532
1524	0.03006755
1526	0.0223982
1528	0.0165137
1530	0.0126312
1532	0.01120775
1534	0.0135214
1536	0.0168931
1538	0.01509175
1540	0.00987555
1542	0.0078745
1544	0.0118216
1546	0.01580455
1548	0.01678705
1550	0.0180632
1552	0.0203698
1554	0.02011715
1556	0.01739385
1558	0.0173608
1560	0.019421
1562	0.0201135
1564	0.01914845
1566	0.02080105
1568	0.02369605
1570	0.0229986
1572	0.0195509
1574	0.0184201
1576	0.0220964
1578	0.0297604
1580	0.0388568
1582	0.0458859
1584	0.05219155
1586	0.0653352
1588	0.08584805
1590	0.1057673
1592	0.11718635
1594	0.12162655
1596	0.12037405
1598	0.1132639
1600	0.10602595
1602	0.10654685
1604	0.1160166
1606	0.1279833
1608	0.1317928
1610	0.11736175
1612	0.08671785
1614	0.05810485
1616	0.0441428
1618	0.0415118
1620	0.03814675
1622	0.03113385
1624	0.02428425
1626	0.02202245
1628	0.02559355
1630	0.0291218
1632	0.0264541
1634	0.02040825
1636	0.0190225
1638	0.0209349
1640	0.0202173
1642	0.01864195
1644	0.019422
1646	0.02076835
1648	0.0186371
1650	0.01555185
1652	0.01799095
1654	0.0270175
1656	0.0326935
1658	0.0308058
1660	0.02672485
1662	0.02584815
1664	0.02639475
1666	0.02883685
1668	0.03499255
1670	0.04373775
1672	0.05018505
1674	0.04874035
1676	0.03904845
1678	0.02937825
1680	0.0266893
1682	0.02830985
1684	0.0253428
1686	0.0206354
1688	0.01996165
1690	0.0223854
1692	0.0241588
1694	0.02367825
1696	0.020548
1698	0.01748355
1700	0.0174257
1702	0.0186733
1704	0.01824115
1706	0.0144146
1708	0.00993015
