wavenumber	intensity
600	0.10803428
602	0.0666493
604	0.0355153
606	0.0188729
608	0.01463452
610	0.01223506
612	0.0069206
614	0.00132474
616	0.00045248
618	0.0032915
620	0.00539398
622	0.00527336
624	0.006368
626	0.0111639
628	0.01770692
630	0.02509524
632	0.0365176
634	0.05486488
636	0.0765567
638	0.09327824
640	0.09953616
642	0.09476808
644	0.08186298
646	0.06345398
648	0.04263552
650	0.02573506
652	0.0174304
654	0.0155843
656	0.01632288
658	0.01894564
660	0.02141518
662	0.02107944
664	0.02060976
666	0.02627992
668	0.04046366
670	0.06183974
672	0.08861008
674	0.11973004
676	0.15332504
678	0.18534666
680	0.21154468
682	0.22881646
684	0.23160432
686	0.21402298
688	0.179737
690	0.14156046
692	0.1099503
694	0.08560874
696	0.06578082
698	0.04842274
700	0.03545004
702	0.02910414
704	0.02752246
706	0.02707582
708	0.02623358
710	0.02377586
712	0.01883516
714	0.01422486
716	0.01466894
718	0.01922574
720	0.02133552
722	0.01939368
724	0.01785642
726	0.01883764
728	0.01931226
730	0.0183883
732	0.01806272
734	0.01888158
736	0.02006486
738	0.02021418
740	0.01963562
742	0.02068412
744	0.02325124
746	0.02473784
748	0.0246652
750	0.0253837
752	0.02806404
754	0.03285716
756	0.03971284
758	0.04830936
760	0.06029458
762	0.07621622
764	0.09299386
766	0.10933456
768	0.13277126
770	0.17664368
772	0.25184596
774	0.37185278
776	0.55403786
778	0.7750041
780	0.9500787
782	0.96804486
784	0.81483566
786	0.58272548
788	0.38615656
790	0.26468836
792	0.2035919
794	0.17316926
796	0.15181962
798	0.13419152
800	0.12152924
802	0.11180956
804	0.1021585
806	0.09237216
808	0.08256534
810	0.07370094
812	0.0671696
814	0.06275262
816	0.05868948
818	0.05476966
820	0.05265248
822	0.05404406
824	0.0571222
826	0.05764362
828	0.05523676
830	0.05195446
832	0.04737668
834	0.04247922
836	0.04016684
838	0.03792206
840	0.0327653
842	0.0277892
844	0.02492576
846	0.02281046
848	0.02255728
850	0.0233176
852	0.02263604
854	0.02222118
856	0.02314984
858	0.0237485
860	0.02542032
862	0.02964492
864	0.03487428
866	0.041684
868	0.05195004
870	0.06553108
872	0.08297436
874	0.10272086
876	0.11958514
878	0.1304238
880	0.13531622
882	0.13327684
884	0.12406136
886	0.11123106
888	0.10018728
890	0.09730858
892	0.10739406
894	0.13244884
896	0.17384906
898	0.22835614
900	0.28030128
902	0.29816636
904	0.2666112
906	0.20424514
908	0.14648374
910	0.11092554
912	0.09683058
914	0.09851984
916	0.10861454
918	0.11957312
920	0.13184676
922	0.15520966
924	0.19973476
926	0.26320884
928	0.3401054
930	0.43171234
932	0.53535734
934	0.63684916
936	0.72165976
938	0.78795176
940	0.8235932
942	0.78538094
944	0.66074158
946	0.49665702
948	0.35252282
950	0.24439012
952	0.1698932
954	0.12351694
956	0.09392574
958	0.0729492
960	0.05712442
962	0.04376498
964	0.03314306
966	0.02728446
968	0.0254255
970	0.02474458
972	0.02280792
974	0.01964908
976	0.01745812
978	0.01582758
980	0.0132462
