wavenumber	intensity
600	0.0063968
602	0.01291295
604	0.01497375
606	0.0131156
608	0.01769425
610	0.0281527
612	0.02717115
614	0.0157909
616	0.01245385
618	0.0170732
620	0.01540955
622	0.01039935
624	0.01437315
626	0.02703225
628	0.03768005
630	0.03923525
632	0.0392122
634	0.05017925
636	0.08093015
638	0.12809955
640	0.19084705
642	0.3314493
644	0.58252
646	0.8294668
648	0.94340495
650	0.94635385
652	0.9394157
654	0.89536305
656	0.7268353
658	0.47310265
660	0.267645
662	0.16872035
664	0.1226382
666	0.09608145
668	0.08319655
670	0.07341135
672	0.06195505
674	0.054517
676	0.0500301
678	0.03817865
680	0.0250303
682	0.02647685
684	0.03819415
686	0.04564805
688	0.05111665
690	0.0599163
692	0.06728175
694	0.0697087
696	0.06294865
698	0.04758705
700	0.03630015
702	0.04018185
704	0.05968745
706	0.09374065
708	0.13208865
710	0.15263335
712	0.1412174
714	0.1084976
716	0.072878
718	0.0444283
720	0.02614745
722	0.019459
724	0.0195882
726	0.0182039
728	0.01469815
730	0.0168634
732	0.0250668
734	0.02856845
736	0.02341985
738	0.0175628
740	0.0180603
742	0.0204412
744	0.0196107
746	0.0179566
748	0.0182615
750	0.01951675
752	0.0220532
754	0.02671815
756	0.02783805
758	0.02147585
760	0.01337015
762	0.01015895
764	0.01052685
766	0.0119575
768	0.01357385
770	0.0158965
772	0.02028925
774	0.02557445
776	0.0296961
778	0.0329931
780	0.0348343
782	0.03258905
784	0.02671915
786	0.01997325
788	0.01354355
790	0.0098182
792	0.0116102
794	0.01748775
796	0.0225614
798	0.02310465
800	0.0177168
802	0.0093325
804	0.0053991
806	0.0120956
808	0.021176
810	0.02139615
812	0.0157352
814	0.01550285
816	0.019573
818	0.01684615
820	0.010755
822	0.0128233
824	0.0207779
826	0.02346065
828	0.0218059
830	0.02599995
832	0.03651555
834	0.0475168
836	0.0518072
838	0.05202325
840	0.0631378
842	0.09054515
844	0.1226352
846	0.1465947
848	0.15382245
850	0.1365214
852	0.09969345
854	0.06456155
856	0.04559175
858	0.0358979
860	0.02598065
862	0.0175638
864	0.01685565
866	0.020193
868	0.02186785
